iter	Passed	Remaining
0	1	192
1	3	187
2	5	183
3	7	169
4	9	174
5	11	173
6	16	213
7	18	207
8	19	201
9	21	193
10	23	188
11	25	183
12	27	183
13	29	180
14	31	179
15	34	181
16	36	179
17	38	177
18	40	174
19	42	171
20	44	168
21	46	164
22	48	161
23	50	158
24	51	155
25	53	152
26	55	149
27	56	146
28	58	143
29	60	140
30	61	137
31	63	134
32	65	132
33	66	130
34	68	127
35	70	125
36	72	122
37	73	120
38	75	117
39	77	115
40	78	113
41	79	109
42	81	107
43	82	105
44	84	103
45	86	101
46	88	99
47	90	97
48	91	95
49	93	93
50	95	91
51	96	89
52	98	87
53	100	85
54	101	82
55	103	81
56	105	79
57	106	77
58	108	75
59	110	73
60	112	71
61	114	69
62	115	67
63	117	66
64	119	64
65	120	62
66	122	60
67	124	58
68	126	56
69	127	54
70	130	53
71	132	51
72	134	49
73	136	47
74	137	45
75	139	43
76	141	42
77	142	40
78	144	38
79	146	36
80	147	34
81	149	32
82	152	31
83	154	29
84	155	27
85	158	25
86	159	23
87	162	22
88	165	20
89	168	18
90	169	16
91	171	14
92	173	13
93	174	11
94	176	9
95	178	7
96	180	5
97	181	3
98	183	1
99	185	0
