iter	Passed	Remaining
0	140	140054
1	142	71034
2	144	48093
3	146	36570
4	148	29614
5	151	25035
6	153	21765
7	155	19342
8	158	17415
9	160	15913
10	162	14593
11	164	13532
12	165	12587
13	167	11778
14	168	11046
15	169	10417
16	170	9887
17	172	9431
18	174	9003
19	175	8602
20	176	8233
21	177	7910
22	180	7662
23	181	7377
24	182	7115
25	183	6879
26	184	6665
27	186	6482
28	188	6307
29	190	6144
30	191	5974
31	192	5814
32	193	5666
33	194	5520
34	195	5387
35	196	5258
36	197	5135
37	198	5028
38	200	4933
39	201	4838
40	202	4743
41	203	4652
42	205	4565
43	207	4497
44	208	4423
45	210	4359
46	211	4293
47	214	4246
48	215	4185
49	216	4116
50	217	4052
51	218	3989
52	220	3935
53	222	3899
54	223	3846
55	224	3792
56	226	3741
57	229	3727
58	231	3686
59	232	3645
60	234	3609
61	236	3578
62	238	3550
63	242	3544
64	244	3521
65	246	3494
66	249	3468
67	251	3445
68	253	3420
69	255	3389
70	257	3371
71	262	3380
72	264	3362
73	266	3338
74	268	3312
75	270	3283
76	271	3255
77	274	3241
78	277	3233
79	279	3211
80	281	3189
81	282	3162
82	283	3132
83	284	3105
84	286	3080
85	288	3064
86	290	3049
87	292	3034
88	294	3018
89	296	2997
90	297	2976
91	299	2958
92	302	2948
93	304	2936
94	306	2921
95	307	2900
96	309	2876
97	310	2855
98	311	2835
99	313	2817
100	314	2798
101	315	2778
102	316	2759
103	318	2745
104	319	2727
105	321	2708
106	322	2689
107	323	2669
108	324	2650
109	325	2632
110	326	2613
111	327	2594
112	328	2577
113	329	2559
114	330	2540
115	331	2523
116	332	2508
117	333	2495
118	335	2483
119	336	2468
120	338	2455
121	338	2438
122	339	2423
123	340	2408
124	342	2394
125	343	2379
126	343	2363
127	344	2349
128	345	2334
129	347	2323
130	348	2311
131	350	2302
132	351	2291
133	352	2278
134	353	2267
135	355	2255
136	356	2244
137	358	2236
138	359	2224
139	360	2212
140	361	2199
141	361	2186
142	363	2180
143	365	2171
144	366	2162
145	367	2151
146	370	2147
147	371	2139
148	373	2132
149	374	2122
150	375	2112
151	377	2105
152	379	2098
153	380	2092
154	382	2083
155	383	2076
156	385	2067
157	386	2058
158	387	2049
159	388	2039
160	389	2028
161	390	2019
162	391	2012
163	393	2004
164	394	1998
165	396	1992
166	397	1984
167	399	1976
168	400	1968
169	401	1960
170	402	1951
171	403	1943
172	404	1934
173	405	1926
174	407	1919
175	408	1913
176	410	1907
177	411	1901
178	413	1894
179	414	1886
180	415	1879
181	416	1871
182	417	1863
183	418	1855
184	419	1847
185	420	1840
186	421	1832
187	423	1827
188	424	1823
189	426	1818
190	428	1813
191	429	1806
192	430	1799
193	431	1792
194	432	1785
195	433	1778
196	434	1771
197	435	1764
198	436	1758
199	439	1758
200	441	1754
201	442	1749
202	444	1744
203	445	1738
204	446	1732
205	447	1726
206	448	1719
207	449	1713
208	450	1706
209	452	1702
210	453	1697
211	455	1692
212	456	1688
213	458	1683
214	459	1677
215	460	1672
216	461	1666
217	462	1660
218	463	1654
219	464	1648
220	466	1642
221	467	1637
222	468	1633
223	470	1630
224	472	1626
225	473	1620
226	474	1615
227	475	1610
228	476	1605
229	477	1599
230	478	1594
231	479	1588
232	480	1583
233	483	1581
234	484	1578
235	486	1575
236	488	1572
237	489	1567
238	491	1563
239	492	1560
240	493	1555
241	494	1550
242	495	1544
243	497	1540
244	498	1537
245	500	1534
246	502	1530
247	503	1526
248	504	1521
249	505	1517
250	506	1512
251	508	1510
252	509	1505
253	511	1501
254	512	1497
255	513	1492
256	514	1488
257	516	1485
258	517	1481
259	519	1477
260	520	1472
261	521	1468
262	522	1463
263	523	1459
264	524	1454
265	525	1450
266	526	1445
267	528	1442
268	530	1440
269	531	1437
270	532	1433
271	533	1429
272	535	1424
273	536	1420
274	537	1416
275	538	1411
276	539	1407
277	540	1403
278	541	1398
279	542	1395
280	544	1392
281	545	1389
282	546	1385
283	547	1380
284	548	1377
285	549	1373
286	551	1369
287	552	1364
288	553	1361
289	554	1356
290	555	1353
291	556	1349
292	558	1346
293	559	1342
294	560	1340
295	562	1336
296	563	1332
297	564	1329
298	565	1326
299	567	1323
300	568	1319
301	569	1315
302	570	1311
303	571	1308
304	573	1306
305	574	1303
306	576	1300
307	577	1297
308	578	1293
309	579	1290
310	580	1286
311	582	1283
312	583	1280
313	585	1278
314	586	1275
315	588	1273
316	589	1270
317	591	1268
318	592	1265
319	594	1262
320	595	1259
321	596	1256
322	598	1253
323	599	1251
324	601	1249
325	603	1246
326	604	1244
327	606	1241
328	607	1239
329	609	1237
330	610	1234
331	613	1234
332	614	1231
333	617	1230
334	619	1228
335	620	1226
336	622	1224
337	623	1221
338	624	1218
339	626	1215
340	627	1212
341	628	1208
342	629	1205
343	630	1202
344	631	1199
345	633	1198
346	635	1195
347	637	1193
348	638	1190
349	639	1187
350	640	1184
351	641	1180
352	642	1177
353	643	1174
354	644	1170
355	645	1167
356	646	1164
357	647	1161
358	649	1159
359	650	1157
360	652	1154
361	653	1152
362	655	1149
363	656	1146
364	657	1144
365	658	1140
366	659	1137
367	660	1134
368	661	1131
369	663	1130
370	665	1129
371	667	1126
372	668	1123
373	669	1121
374	670	1118
375	672	1115
376	673	1112
377	674	1110
378	675	1107
379	677	1105
380	679	1104
381	681	1101
382	682	1099
383	684	1097
384	685	1095
385	686	1092
386	687	1089
387	689	1087
388	690	1084
389	691	1081
390	693	1079
391	694	1077
392	696	1075
393	697	1072
394	698	1070
395	700	1067
396	701	1065
397	702	1062
398	703	1059
399	704	1057
400	705	1054
401	706	1051
402	708	1048
403	709	1046
404	710	1044
405	711	1041
406	712	1038
407	713	1035
408	714	1033
409	715	1030
410	716	1027
411	717	1024
412	718	1021
413	719	1019
414	721	1016
415	722	1014
416	724	1012
417	725	1009
418	726	1007
419	727	1004
420	728	1001
421	729	999
422	730	996
423	731	993
424	732	991
425	733	988
426	734	985
427	735	983
428	737	981
429	739	980
430	740	977
431	741	974
432	742	972
433	744	970
434	745	968
435	747	966
436	748	964
437	750	963
438	752	960
439	753	959
440	755	957
441	756	954
442	757	952
443	758	950
444	760	948
445	761	946
446	763	944
447	764	942
448	765	939
449	766	936
450	767	934
451	769	932
452	770	930
453	771	928
454	773	925
455	774	923
456	775	921
457	776	919
458	777	916
459	778	914
460	780	911
461	781	909
462	782	907
463	783	905
464	785	903
465	786	901
466	787	899
467	789	897
468	790	894
469	791	892
470	792	890
471	793	887
472	794	885
473	795	883
474	796	880
475	798	878
476	799	876
477	800	874
478	802	872
479	803	870
480	804	868
481	806	866
482	807	864
483	809	862
484	810	860
485	811	858
486	812	856
487	814	854
488	816	853
489	817	851
490	819	849
491	820	847
492	821	845
493	822	842
494	824	840
495	825	838
496	826	836
497	828	834
498	829	833
499	831	831
500	832	829
501	833	827
502	835	825
503	836	823
504	837	821
505	838	818
506	840	816
507	841	814
508	842	812
509	844	811
510	846	809
511	847	807
512	849	806
513	850	804
514	852	802
515	853	800
516	854	798
517	855	796
518	857	794
519	858	792
520	860	790
521	861	789
522	864	788
523	865	785
524	866	784
525	868	782
526	869	780
527	871	778
528	872	777
529	875	776
530	877	774
531	878	772
532	879	770
533	880	768
534	881	766
535	882	764
536	883	762
537	884	759
538	886	757
539	887	755
540	889	754
541	890	752
542	892	751
543	893	749
544	894	746
545	895	744
546	896	742
547	897	740
548	898	738
549	900	736
550	901	734
551	902	732
552	903	730
553	905	728
554	906	726
555	907	724
556	908	722
557	909	720
558	910	718
559	912	716
560	912	714
561	914	712
562	915	710
563	916	708
564	917	706
565	918	704
566	920	702
567	921	700
568	922	698
569	923	696
570	924	694
571	925	692
572	926	690
573	927	688
574	928	686
575	929	684
576	930	682
577	931	680
578	932	678
579	933	676
580	935	674
581	936	672
582	937	670
583	938	668
584	939	666
585	940	664
586	941	662
587	942	660
588	942	658
589	943	655
590	944	653
